 	Text	Types	Tokens	Frequencies	TTR	h-Point	Entropy	Average Tokens Length	R1	Λ (Lambda)	
n_66	n_66	190	299	[...]	0.635452	6.333333	7.111957	4.789298	0.869751	1.609365	
n_67	n_67	187	299	[...]	0.625418	6.5	7.084095	4.779264	0.893395	1.601426	
n_68	n_68	190	300	[...]	0.633333	7	7.067809	4.89	0.851667	1.622794	
n_69	n_69	188	300	[...]	0.626667	6	7.179634	4.966667	0.913333	1.571434	
n_70	n_70	201	299	[...]	0.672241	6	7.258418	5.264214	0.889632	1.697878	
n_71	n_71	183	300	[...]	0.61	7	7.022096	4.88	0.858333	1.550561	
n_72	n_72	189	299	[...]	0.632107	6	7.169117	5.043478	0.899666	1.605325	
n_73	n_73	197	295	[...]	0.667797	6	7.187272	5.132203	0.877966	1.701738	
n_74	n_74	200	299	[...]	0.668896	6	7.282708	5.287625	0.896321	1.689598	
n_75	n_75	168	300	[...]	0.56	7	6.770285	4.746667	0.828333	1.453765	
n_76	n_76	210	297	[...]	0.707071	6	7.347111	5.818182	0.885522	1.792522	
n_77	n_77	187	299	[...]	0.625418	5.5	7.005239	5.023411	0.846572	1.629098	
n_78	n_78	183	300	[...]	0.61	6.5	6.916267	4.793333	0.82375	1.59193	
n_79	n_79	205	300	[...]	0.683333	5.5	7.267504	5.386667	0.890417	1.730751	
n_80	n_80	193	300	[...]	0.643333	6	7.190152	4.673333	0.893333	1.638507	
n_81	n_81	175	300	[...]	0.583333	6.5	6.982434	4.796667	0.880417	1.51151	
n_82	n_82	189	300	[...]	0.63	5.666667	7.054985	4.823333	0.863519	1.637998	
n_83	n_83	171	293	[...]	0.583618	7.5	6.802962	4.726962	0.826365	1.494719	
n_84	n_84	84	98	[...]	0.857143	3	6.285479	5.5	0.943878	1.711695	
